sample_offset	event_code	cond_code	type	latency	urevent	usertags
94	199	0	199	94	1	
221	199	0	199	221	2	
308	199	0	199	308	3	
435	199	0	199	435	4	
568	199	0	199	568	5	
695	199	0	199	695	6	
822	199	0	199	822	7	
949	199	0	199	949	8	
1076	199	0	199	1076	9	
1202	199	0	199	1202	10	
1329	199	0	199	1329	11	
1456	199	0	199	1456	12	
1583	199	0	199	1583	13	
1710	199	0	199	1710	14	
1837	199	0	199	1837	15	
1964	199	0	199	1964	16	
2091	199	0	199	2091	17	
2218	199	0	199	2218	18	
2345	199	0	199	2345	19	
2472	199	0	199	2472	20	
2598	199	0	199	2598	21	
2725	199	0	199	2725	22	
2852	199	0	199	2852	23	
2979	199	0	199	2979	24	
3106	199	0	199	3106	25	
3233	199	0	199	3233	26	
3360	199	0	199	3360	27	
3487	199	0	199	3487	28	
3614	199	0	199	3614	29	
3740	199	0	199	3740	30	
3868	199	0	199	3868	31	
3994	199	0	199	3994	32	
4121	199	0	199	4121	33	
4248	199	0	199	4248	34	
4375	199	0	199	4375	35	
4502	199	0	199	4502	36	
4629	199	0	199	4629	37	
4756	199	0	199	4756	38	
4883	199	0	199	4883	39	
5010	199	0	199	5010	40	
5136	199	0	199	5136	41	
5263	199	0	199	5263	42	
5390	199	0	199	5390	43	
5517	199	0	199	5517	44	
5644	199	0	199	5644	45	
5771	199	0	199	5771	46	
5898	199	0	199	5898	47	
6025	199	0	199	6025	48	
6152	199	0	199	6152	49	
6279	199	0	199	6279	50	
6406	199	0	199	6406	51	
6532	199	0	199	6532	52	
6659	199	0	199	6659	53	
6786	199	0	199	6786	54	
7040	199	0	199	7040	55	
7167	199	0	199	7167	56	
7294	199	0	199	7294	57	
7421	199	0	199	7421	58	
7548	199	0	199	7548	59	
7675	199	0	199	7675	60	
7801	199	0	199	7801	61	
7928	199	0	199	7928	62	
8055	199	0	199	8055	63	
8182	199	0	199	8182	64	
8309	199	0	199	8309	65	
8436	199	0	199	8436	66	
8563	199	0	199	8563	67	
8690	199	0	199	8690	68	
8817	199	0	199	8817	69	
8944	199	0	199	8944	70	
9070	199	0	199	9070	71	
9197	199	0	199	9197	72	
9324	199	0	199	9324	73	
9451	199	0	199	9451	74	
9578	199	0	199	9578	75	
9705	199	0	199	9705	76	
9832	199	0	199	9832	77	
9959	199	0	199	9959	78	
10086	199	0	199	10086	79	
10213	199	0	199	10213	80	
10339	199	0	199	10339	81	
10466	199	0	199	10466	82	
10593	199	0	199	10593	83	
10720	199	0	199	10720	84	
10847	199	0	199	10847	85	
10974	199	0	199	10974	86	
11101	199	0	199	11101	87	
11228	199	0	199	11228	88	
11355	199	0	199	11355	89	
11481	199	0	199	11481	90	
11608	199	0	199	11608	91	
11735	199	0	199	11735	92	
11862	199	0	199	11862	93	
11989	199	0	199	11989	94	
12116	199	0	199	12116	95	
12243	199	0	199	12243	96	
12370	199	0	199	12370	97	
12497	199	0	199	12497	98	
12623	199	0	199	12623	99	
12750	199	0	199	12750	100	
12877	199	0	199	12877	101	
13004	199	0	199	13004	102	
13131	199	0	199	13131	103	
13258	199	0	199	13258	104	
13385	199	0	199	13385	105	
13512	199	0	199	13512	106	
13639	199	0	199	13639	107	
13765	199	0	199	13765	108	
13892	199	0	199	13892	109	
14019	199	0	199	14019	110	
14146	199	0	199	14146	111	
14273	199	0	199	14273	112	
14400	199	0	199	14400	113	
14527	199	0	199	14527	114	
14654	199	0	199	14654	115	
14781	199	0	199	14781	116	
14907	199	0	199	14907	117	
15034	199	0	199	15034	118	
15161	199	0	199	15161	119	
15288	199	0	199	15288	120	
15415	199	0	199	15415	121	
15542	199	0	199	15542	122	
15669	199	0	199	15669	123	
15796	199	0	199	15796	124	
15923	199	0	199	15923	125	
16049	199	0	199	16049	126	
16176	199	0	199	16176	127	
16303	199	0	199	16303	128	
16430	199	0	199	16430	129	
16557	199	0	199	16557	130	
