onset	duration	sample	event_code	cond_code	sub_block	trial	focus_modality
5.116	n/a	1280	202	2	0	0	visual
10.172	n/a	2544	2	2	1	0	visual
10.648	n/a	2663	6	2	1	1	visual
11.128	n/a	2783	6	2	1	2	visual
11.868	n/a	2968	5	2	1	3	visual
12.688	n/a	3173	5	2	1	4	visual
12.984	n/a	3247	5	2	1	5	visual
13.6	n/a	3401	3	2	1	6	visual
13.848	n/a	3463	6	2	1	7	visual
14.344	n/a	3587	6	2	1	8	visual
14.596	n/a	3650	201	2	1	8	visual
15.008	n/a	3753	5	2	1	9	visual
15.668	n/a	3918	6	2	1	10	visual
16.036	n/a	4010	6	2	1	11	visual
16.428	n/a	4108	1	2	2	11	visual
16.856	n/a	4215	5	2	2	12	visual
17.632	n/a	4409	3	2	2	13	visual
18.224	n/a	4557	5	2	2	14	visual
18.608	n/a	4653	5	2	2	15	visual
18.916	n/a	4730	2	2	3	15	visual
19.248	n/a	4813	6	2	3	16	visual
19.928	n/a	4983	4	2	3	17	visual
20.276	n/a	5070	201	2	3	17	visual
20.524	n/a	5132	6	2	3	18	visual
20.956	n/a	5240	6	2	3	19	visual
21.368	n/a	5343	6	2	3	20	visual
22.18	n/a	5546	6	2	3	21	visual
22.52	n/a	5631	1	2	4	21	visual
22.976	n/a	5745	6	2	4	22	visual
23.388	n/a	5848	3	2	4	23	visual
23.88	n/a	5971	5	2	4	24	visual
24.168	n/a	6043	5	2	4	25	visual
24.644	n/a	6162	5	2	4	26	visual
24.932	n/a	6234	5	2	4	27	visual
25.256	n/a	6315	3	2	4	28	visual
25.664	n/a	6417	5	2	4	29	visual
26.232	n/a	6559	5	2	4	30	visual
26.868	n/a	6718	2	2	5	30	visual
27.388	n/a	6848	5	2	5	31	visual
27.768	n/a	6943	4	2	5	32	visual
28.132	n/a	7034	3	2	5	33	visual
28.208	n/a	7053	201	2	5	33	visual
28.792	n/a	7199	6	2	5	34	visual
29.604	n/a	7402	6	2	5	35	visual
29.92	n/a	7481	4	2	5	36	visual
30.284	n/a	7572	5	2	5	37	visual
30.36	n/a	7591	201	2	5	37	visual
30.748	n/a	7688	6	2	5	38	visual
31.46	n/a	7866	4	2	5	39	visual
31.912	n/a	7979	201	2	5	39	visual
32.144	n/a	8037	5	2	5	40	visual
32.572	n/a	8144	6	2	5	41	visual
33.136	n/a	8285	6	2	5	42	visual
33.5	n/a	8376	5	2	5	43	visual
33.864	n/a	8467	6	2	5	44	visual
34.676	n/a	8670	6	2	5	45	visual
35.336	n/a	8835	5	2	5	46	visual
36.1	n/a	9026	6	2	5	47	visual
36.392	n/a	9099	1	2	6	47	visual
36.88	n/a	9221	6	2	6	48	visual
37.224	n/a	9307	5	2	6	49	visual
37.492	n/a	9374	3	2	6	50	visual
38.192	n/a	9549	5	2	6	51	visual
38.688	n/a	9673	3	2	6	52	visual
39.264	n/a	9817	6	2	6	53	visual
39.844	n/a	9962	5	2	6	54	visual
40.56	n/a	10141	5	2	6	55	visual
40.972	n/a	10244	5	2	6	56	visual
41.336	n/a	10335	2	2	7	56	visual
41.668	n/a	10418	5	2	7	57	visual
41.916	n/a	10480	4	2	7	58	visual
42.28	n/a	10571	5	2	7	59	visual
42.3	n/a	10576	201	2	7	59	visual
43.076	n/a	10770	6	2	7	60	visual
43.788	n/a	10948	4	2	7	61	visual
44.12	n/a	11031	6	2	7	62	visual
44.184	n/a	11047	201	2	7	62	visual
44.928	n/a	11233	5	2	7	63	visual
45.48	n/a	11371	4	2	7	64	visual
45.856	n/a	11465	201	2	7	64	visual
45.94	n/a	11486	5	2	7	65	visual
46.572	n/a	11644	6	2	7	66	visual
47.336	n/a	11835	6	2	7	67	visual
47.672	n/a	11919	5	2	7	68	visual
48.384	n/a	12097	1	2	8	68	visual
48.776	n/a	12195	6	2	8	69	visual
49.088	n/a	12273	3	2	8	70	visual
49.42	n/a	12356	5	2	8	71	visual
49.936	n/a	12485	6	2	8	72	visual
50.168	n/a	12543	4	2	8	73	visual
50.46	n/a	12616	201	2	8	73	visual
50.532	n/a	12634	5	2	8	74	visual
51.3	n/a	12826	3	2	8	75	visual
51.544	n/a	12887	6	2	8	76	visual
51.76	n/a	12941	5	2	8	77	visual
52.008	n/a	13003	3	2	8	78	visual
52.704	n/a	13177	6	2	8	79	visual
52.932	n/a	13234	5	2	8	80	visual
53.336	n/a	13335	2	2	9	80	visual
53.748	n/a	13438	6	2	9	81	visual
53.952	n/a	13489	3	2	9	82	visual
54.348	n/a	13588	5	2	9	83	visual
54.892	n/a	13724	6	2	9	84	visual
55.236	n/a	13810	5	2	9	85	visual
55.588	n/a	13898	6	2	9	86	visual
56.272	n/a	14069	5	2	9	87	visual
56.74	n/a	14186	5	2	9	88	visual
57.18	n/a	14296	6	2	9	89	visual
57.544	n/a	14387	6	2	9	90	visual
58.332	n/a	14584	5	2	9	91	visual
58.62	n/a	14656	6	2	9	92	visual
58.832	n/a	14709	1	2	10	92	visual
59.332	n/a	14834	6	2	10	93	visual
59.656	n/a	14915	3	2	10	94	visual
60.04	n/a	15011	5	2	10	95	visual
60.668	n/a	15168	3	2	10	96	visual
60.9	n/a	15226	5	2	10	97	visual
61.204	n/a	15302	6	2	10	98	visual
61.544	n/a	15387	5	2	10	99	visual
61.968	n/a	15493	6	2	10	100	visual
62.584	n/a	15647	5	2	10	101	visual
63.02	n/a	15756	3	2	10	102	visual
63.26	n/a	15816	4	2	10	103	visual
63.576	n/a	15895	5	2	10	104	visual
63.584	n/a	15897	201	2	10	104	visual
64.004	n/a	16002	6	2	10	105	visual
64.232	n/a	16059	5	2	10	106	visual
64.98	n/a	16246	2	2	11	106	visual
65.332	n/a	16334	6	2	11	107	visual
65.72	n/a	16431	3	2	11	108	visual
66.192	n/a	16549	6	2	11	109	visual
66.492	n/a	16624	4	2	11	110	visual
66.804	n/a	16702	5	2	11	111	visual
66.816	n/a	16705	201	2	11	111	visual
67.42	n/a	16856	6	2	11	112	visual
68.092	n/a	17024	5	2	11	113	visual
68.728	n/a	17183	6	2	11	114	visual
69.144	n/a	17287	5	2	11	115	visual
69.856	n/a	17465	6	2	11	116	visual
70.536	n/a	17635	1	2	12	116	visual
71.004	n/a	17752	5	2	12	117	visual
71.396	n/a	17850	5	2	12	118	visual
72.092	n/a	18024	6	2	12	119	visual
72.836	n/a	18210	6	2	12	120	visual
73.116	n/a	18280	3	2	12	121	visual
73.72	n/a	18431	5	2	12	122	visual
